word,ambiguity_type,model,nbhd_mean_distance
keg,P,word2vec_recipe_20_HOM,0.27580467
aristocrat,P,word2vec_recipe_20_HOM,0.17720224
novelty,P,word2vec_recipe_20_HOM,0.19449113
pirate,P,word2vec_recipe_20_HOM,0.24370901
gasoline,M,word2vec_recipe_20_HOM,0.16057499
fringe,P,word2vec_recipe_20_HOM,0.23789057
corral,P,word2vec_recipe_20_HOM,0.34723938
gopher,P,word2vec_recipe_20_HOM,0.24431513
substance,P,word2vec_recipe_20_HOM,0.35800225
flannel,P,word2vec_recipe_20_HOM,0.39568081
strap,P,word2vec_recipe_20_HOM,0.28771392
courtesy,P,word2vec_recipe_20_HOM,0.34399876
pitch,H,word2vec_recipe_20_HOM,0.40280584
countdown,P,word2vec_recipe_20_HOM,0.30223185
fiend,P,word2vec_recipe_20_HOM,0.1755666
generic,P,word2vec_recipe_20_HOM,0.27070388
marijuana,M,word2vec_recipe_20_HOM,0.29009658
pink,H,word2vec_recipe_20_HOM,0.48675522
perky,M,word2vec_recipe_20_HOM,0.3269283
society,P,word2vec_recipe_20_HOM,0.19091488
fearless,M,word2vec_recipe_20_HOM,0.20731731
lotion,P,word2vec_recipe_20_HOM,0.30943874
hoop,P,word2vec_recipe_20_HOM,0.32520735
cookie,P,word2vec_recipe_20_HOM,0.37365764
etiquette,M,word2vec_recipe_20_HOM,0.13171859
romantic,P,word2vec_recipe_20_HOM,0.25556996
square,P,word2vec_recipe_20_HOM,0.3272935
vibration,P,word2vec_recipe_20_HOM,0.17165795
isolate,P,word2vec_recipe_20_HOM,0.2582531
spacious,P,word2vec_recipe_20_HOM,0.26717547
toilet,P,word2vec_recipe_20_HOM,0.24709423
southwest,P,word2vec_recipe_20_HOM,0.29116488
corpse,M,word2vec_recipe_20_HOM,0.1853276
publisher,P,word2vec_recipe_20_HOM,0.16485815
accompany,P,word2vec_recipe_20_HOM,0.39072323
wildlife,M,word2vec_recipe_20_HOM,0.18387139
louse,P,word2vec_recipe_20_HOM,0.17236191
household,P,word2vec_recipe_20_HOM,0.2689675
lend,P,word2vec_recipe_20_HOM,0.3028555
despise,M,word2vec_recipe_20_HOM,0.095493965
attack,P,word2vec_recipe_20_HOM,0.3211293
cone,P,word2vec_recipe_20_HOM,0.33026654
rope,P,word2vec_recipe_20_HOM,0.32575884
agreement,P,word2vec_recipe_20_HOM,0.3474471
unable,M,word2vec_recipe_20_HOM,0.312383
rainy,M,word2vec_recipe_20_HOM,0.3371498
gracious,P,word2vec_recipe_20_HOM,0.17824854
hind,H,word2vec_recipe_20_HOM,0.25405225
park,P,word2vec_recipe_20_HOM,0.33260807
detector,P,word2vec_recipe_20_HOM,0.20846951
armpit,M,word2vec_recipe_20_HOM,0.2064654
distance,P,word2vec_recipe_20_HOM,0.43315646
eager,M,word2vec_recipe_20_HOM,0.11696372
drum,P,word2vec_recipe_20_HOM,0.40001008
accident,P,word2vec_recipe_20_HOM,0.21999338
moon,P,word2vec_recipe_20_HOM,0.40838975
pansy,P,word2vec_recipe_20_HOM,0.3019189
reality,P,word2vec_recipe_20_HOM,0.120935336
equal,P,word2vec_recipe_20_HOM,0.42522386
regain,P,word2vec_recipe_20_HOM,0.26520267
dominion,P,word2vec_recipe_20_HOM,0.17263699
pudding,P,word2vec_recipe_20_HOM,0.4080114
