ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.27925715,0.28829092,0.3389415,0.32625037,0.3616623,0.33810183
HYP*,0.2929729,0.32480848,0.41614282,0.41909575,0.45717323,0.43825644
M,0.20928876,0.22128217,0.2534503,0.25448012,0.2714036,0.2668197
P,0.24087575,0.24968271,0.29025197,0.28234252,0.30938992,0.29340738
