word,ambiguity_type,model,nbhd_mean_distance
keg,P,word2vec_recipe_10_HOM,0.2714885
aristocrat,P,word2vec_recipe_10_HOM,0.18821287
novelty,P,word2vec_recipe_10_HOM,0.20230342
pirate,P,word2vec_recipe_10_HOM,0.22335221
gasoline,M,word2vec_recipe_10_HOM,0.13952565
fringe,P,word2vec_recipe_10_HOM,0.22947542
corral,P,word2vec_recipe_10_HOM,0.35354066
gopher,P,word2vec_recipe_10_HOM,0.24353468
substance,P,word2vec_recipe_10_HOM,0.3513319
flannel,P,word2vec_recipe_10_HOM,0.38530898
strap,P,word2vec_recipe_10_HOM,0.2799588
courtesy,P,word2vec_recipe_10_HOM,0.3431068
pitch,H,word2vec_recipe_10_HOM,0.40698138
countdown,P,word2vec_recipe_10_HOM,0.3078824
fiend,P,word2vec_recipe_10_HOM,0.1595403
generic,P,word2vec_recipe_10_HOM,0.28530303
marijuana,M,word2vec_recipe_10_HOM,0.28887334
pink,H,word2vec_recipe_10_HOM,0.48959488
perky,M,word2vec_recipe_10_HOM,0.34131423
society,P,word2vec_recipe_10_HOM,0.18393941
fearless,M,word2vec_recipe_10_HOM,0.20011269
lotion,P,word2vec_recipe_10_HOM,0.30556157
hoop,P,word2vec_recipe_10_HOM,0.32339248
cookie,P,word2vec_recipe_10_HOM,0.3697259
etiquette,M,word2vec_recipe_10_HOM,0.13426784
romantic,P,word2vec_recipe_10_HOM,0.2534054
square,P,word2vec_recipe_10_HOM,0.3262437
vibration,P,word2vec_recipe_10_HOM,0.14642407
isolate,P,word2vec_recipe_10_HOM,0.24667643
spacious,P,word2vec_recipe_10_HOM,0.26004016
toilet,P,word2vec_recipe_10_HOM,0.23633364
southwest,P,word2vec_recipe_10_HOM,0.2947629
corpse,M,word2vec_recipe_10_HOM,0.1649459
publisher,P,word2vec_recipe_10_HOM,0.1583071
accompany,P,word2vec_recipe_10_HOM,0.38666022
wildlife,M,word2vec_recipe_10_HOM,0.1779594
louse,P,word2vec_recipe_10_HOM,0.15638432
household,P,word2vec_recipe_10_HOM,0.2544829
lend,P,word2vec_recipe_10_HOM,0.28348145
despise,M,word2vec_recipe_10_HOM,0.10456858
attack,P,word2vec_recipe_10_HOM,0.32966152
cone,P,word2vec_recipe_10_HOM,0.33171162
rope,P,word2vec_recipe_10_HOM,0.32778573
agreement,P,word2vec_recipe_10_HOM,0.34189227
unable,M,word2vec_recipe_10_HOM,0.31228182
rainy,M,word2vec_recipe_10_HOM,0.34415546
gracious,P,word2vec_recipe_10_HOM,0.2015835
hind,H,word2vec_recipe_10_HOM,0.26212984
park,P,word2vec_recipe_10_HOM,0.32977554
detector,P,word2vec_recipe_10_HOM,0.20187342
