ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.27872038,0.28683215,0.33826423,0.32556573,0.3609223,0.33757597
HYP*,0.25701442,0.31226712,0.34794566,0.36321706,0.37967044,0.37276632
M,0.20727804,0.21876264,0.2519484,0.25251457,0.26985255,0.26462603
P,0.23999958,0.24879332,0.28924623,0.28166407,0.3083494,0.29241103
