ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.27891415,0.28761798,0.3387283,0.32612005,0.3614944,0.33791068
HOM*,0.3372166,0.3644658,0.42829362,0.4204572,0.4593967,0.43121195
M,0.2086137,0.22043529,0.25273168,0.25431862,0.27056184,0.2663034
P,0.24021557,0.24918798,0.28975025,0.28220576,0.30890128,0.29311463
