ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.27868506,0.2875672,0.3386151,0.32644013,0.36125246,0.33808127
HYP*,0.27648804,0.31896263,0.35271788,0.3609454,0.38245732,0.37079296
M,0.19982068,0.20806351,0.2383015,0.23835422,0.25422972,0.24997804
P,0.24025284,0.24973018,0.2895001,0.2820761,0.308607,0.29275468
