ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.31733695,0.3928973,0.40766427,0.5001016,0.44436866,0.53216136
HYP*,0.24901676,0.35713497,0.39748782,0.5414222,0.45902205,0.59916276
M,0.2834981,0.34501624,0.3583158,0.42793688,0.38930425,0.4543105
P,0.30241767,0.3709459,0.3827347,0.45948592,0.4151417,0.4862404
