ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.27743345,0.2848467,0.3368955,0.32435066,0.35951567,0.3364351
HOM*,0.3018573,0.336152,0.39335534,0.3922961,0.42472675,0.40114152
M,0.20743802,0.22008497,0.25202635,0.25361708,0.2699164,0.26552144
P,0.23985113,0.24848518,0.28902864,0.28145975,0.308108,0.29227367
