word,ambiguity_type,model,nbhd_mean_distance
dazzle,P,word2vec_tiny_50_HOM,0.36616734
headache,P,word2vec_tiny_50_HOM,0.47095764
infant,P,word2vec_tiny_50_HOM,0.51851386
maker,P,word2vec_tiny_50_HOM,0.5036465
limit,P,word2vec_tiny_50_HOM,0.42086327
yard,H,word2vec_tiny_50_HOM,0.54108137
expense,P,word2vec_tiny_50_HOM,0.28730705
snug,P,word2vec_tiny_50_HOM,0.43463555
branch,P,word2vec_tiny_50_HOM,0.47232765
button,P,word2vec_tiny_50_HOM,0.45374364
hesitate,P,word2vec_tiny_50_HOM,0.36855358
jackpot,P,word2vec_tiny_50_HOM,0.23045292
reach,P,word2vec_tiny_50_HOM,0.5452195
virus,P,word2vec_tiny_50_HOM,0.3939172
workers,P,word2vec_tiny_50_HOM,0.4539996
block,P,word2vec_tiny_50_HOM,0.4886738
cradle,P,word2vec_tiny_50_HOM,0.38241157
peppermint,P,word2vec_tiny_50_HOM,0.31252903
punk,P,word2vec_tiny_50_HOM,0.2493766
solid,P,word2vec_tiny_50_HOM,0.41487315
morality,P,word2vec_tiny_50_HOM,0.175729
tackle,P,word2vec_tiny_50_HOM,0.38695538
mural,P,word2vec_tiny_50_HOM,0.36584187
bakery,M,word2vec_tiny_50_HOM,0.44434536
dramatic,P,word2vec_tiny_50_HOM,0.28281352
grasp,P,word2vec_tiny_50_HOM,0.32538646
frog,H,word2vec_tiny_50_HOM,0.43594792
dig,P,word2vec_tiny_50_HOM,0.508619
continent,P,word2vec_tiny_50_HOM,0.3081756
destiny,P,word2vec_tiny_50_HOM,0.29920796
tune,P,word2vec_tiny_50_HOM,0.43690836
vision,P,word2vec_tiny_50_HOM,0.3386135
shave,P,word2vec_tiny_50_HOM,0.5305596
scan,P,word2vec_tiny_50_HOM,0.34224164
sitter,P,word2vec_tiny_50_HOM,0.37347448
steam,P,word2vec_tiny_50_HOM,0.47548252
keen,H,word2vec_tiny_50_HOM,0.40659484
rejoin,H,word2vec_tiny_50_HOM,0.20472607
autograph,P,word2vec_tiny_50_HOM,0.32838643
steward,P,word2vec_tiny_50_HOM,0.24968795
partner,P,word2vec_tiny_50_HOM,0.41130206
cast,P,word2vec_tiny_50_HOM,0.4870514
vengeful,M,word2vec_tiny_50_HOM,0.2226585
brilliance,P,word2vec_tiny_50_HOM,0.29541212
cockroach,M,word2vec_tiny_50_HOM,0.3289168
similar,M,word2vec_tiny_50_HOM,0.41701967
countless,M,word2vec_tiny_50_HOM,0.39481464
scramble,P,word2vec_tiny_50_HOM,0.33028463
antique,P,word2vec_tiny_50_HOM,0.32680157
skip,P,word2vec_tiny_50_HOM,0.52710724
generation,P,word2vec_tiny_50_HOM,0.39992484
treat,P,word2vec_tiny_50_HOM,0.43037292
gobble,H,word2vec_tiny_50_HOM,0.39682493
athlete,P,word2vec_tiny_50_HOM,0.30448896
rug,P,word2vec_tiny_50_HOM,0.42335263
paint,P,word2vec_tiny_50_HOM,0.41928864
passionate,P,word2vec_tiny_50_HOM,0.35299888
push,P,word2vec_tiny_50_HOM,0.4912214
liar,M,word2vec_tiny_50_HOM,0.39773792
password,M,word2vec_tiny_50_HOM,0.39644077
buzzard,P,word2vec_tiny_50_HOM,0.3936144
deadly,P,word2vec_tiny_50_HOM,0.30614525
thorough,P,word2vec_tiny_50_HOM,0.32141677
level,P,word2vec_tiny_50_HOM,0.4636113
offer,P,word2vec_tiny_50_HOM,0.46309826
jerk,H,word2vec_tiny_50_HOM,0.32717144
accurate,P,word2vec_tiny_50_HOM,0.3056828
train,P,word2vec_tiny_50_HOM,0.40930623
dart,P,word2vec_tiny_50_HOM,0.41496316
insecure,P,word2vec_tiny_50_HOM,0.18240672
nibble,P,word2vec_tiny_50_HOM,0.467738
bacon,M,word2vec_tiny_50_HOM,0.3219968
cope,H,word2vec_tiny_50_HOM,0.27392015
ballet,P,word2vec_tiny_50_HOM,0.44471228
soak,P,word2vec_tiny_50_HOM,0.4917364
steady,P,word2vec_tiny_50_HOM,0.5298708
perfume,P,word2vec_tiny_50_HOM,0.46688136
patient,P,word2vec_tiny_50_HOM,0.51155823
barefoot,M,word2vec_tiny_50_HOM,0.37446004
stale,P,word2vec_tiny_50_HOM,0.2979053
invade,P,word2vec_tiny_50_HOM,0.15119332
fry,H,word2vec_tiny_50_HOM,0.2838129
fetch,P,word2vec_tiny_50_HOM,0.5119345
stressful,M,word2vec_tiny_50_HOM,0.1957786
fabulous,P,word2vec_tiny_50_HOM,0.367095
cabin,P,word2vec_tiny_50_HOM,0.47218338
lonesome,P,word2vec_tiny_50_HOM,0.3261901
jester,P,word2vec_tiny_50_HOM,0.4255661
morale,M,word2vec_tiny_50_HOM,0.1728198
assistant,P,word2vec_tiny_50_HOM,0.34135577
fat,P,word2vec_tiny_50_HOM,0.4756948
contribute,P,word2vec_tiny_50_HOM,0.2566669
trend,P,word2vec_tiny_50_HOM,0.2992438
exhaust,P,word2vec_tiny_50_HOM,0.2862355
jealous,P,word2vec_tiny_50_HOM,0.5497024
blouse,P,word2vec_tiny_50_HOM,0.3922833
squid,M,word2vec_tiny_50_HOM,0.37524602
fragile,P,word2vec_tiny_50_HOM,0.53841096
worthless,P,word2vec_tiny_50_HOM,0.40265203
clinic,P,word2vec_tiny_50_HOM,0.46206057
hefty,P,word2vec_tiny_50_HOM,0.24959542
humor,P,word2vec_tiny_50_HOM,0.35241863
ultimate,P,word2vec_tiny_50_HOM,0.32717967
fruity,P,word2vec_tiny_50_HOM,0.36586365
rowdy,P,word2vec_tiny_50_HOM,0.30496874
zone,P,word2vec_tiny_50_HOM,0.47524208
appreciate,P,word2vec_tiny_50_HOM,0.42031482
walrus,M,word2vec_tiny_50_HOM,0.39135838
instrument,P,word2vec_tiny_50_HOM,0.4384643
vial,M,word2vec_tiny_50_HOM,0.2099477
microwave,P,word2vec_tiny_50_HOM,0.42272225
mustard,P,word2vec_tiny_50_HOM,0.30957997
camper,P,word2vec_tiny_50_HOM,0.2718543
robbery,M,word2vec_tiny_50_HOM,0.33767772
epic,P,word2vec_tiny_50_HOM,0.2970762
lighthouse,M,word2vec_tiny_50_HOM,0.417496
agony,P,word2vec_tiny_50_HOM,0.2762575
bike,P,word2vec_tiny_50_HOM,0.40116566
