ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.31632376,0.39357603,0.40626937,0.49956158,0.44278648,0.5316549
HOM*,0.36426744,0.45423716,0.47858393,0.59010535,0.5217583,0.619977
M,0.28442776,0.34642333,0.35996047,0.43078417,0.39123553,0.4572869
P,0.30351248,0.37329614,0.3837731,0.46131685,0.4161805,0.48809308
