word,cv_dist_subtl_all_100,cv_dist_subtl_all_200,cv_dist_subtl_nearest_100,cv_dist_subtl_nearest_200,cv_dist_wiki_all_100,cv_dist_wiki_all_200,cv_dist_wiki_nearest_100,cv_dist_wiki_nearest_200,cv_pairdist_subtl_all_100,cv_pairdist_subtl_all_200,cv_pairdist_subtl_nearest_100,cv_pairdist_subtl_nearest_200,cv_pairdist_wiki_all_100,cv_pairdist_wiki_all_200,cv_pairdist_wiki_nearest_100,cv_pairdist_wiki_nearest_200,gv_dist,gv_pairdist,nbhd_dist_100,nbhd_dist_20,nbhd_dist_200,nbhd_pairdist_100,nbhd_pairdist_20,nbhd_pairdist_200
rejoin,0.8403469353290417,0.8403469353290417,0.8403469353290415,0.8403469353290415,0.68649532919148,0.68649532919148,0.5700973664612065,0.5953404312900654,0.7109968917596322,0.7109968917596322,0.7109968917596322,0.7109968917596322,0.44684678085707086,0.44684678085707086,0.3825036272052899,0.3931259598133133,0.6639156577839292,0.5112595430508594,0.5501501070494345,0.4008671077853555,0.59807991422887,0.6987017232883973,0.5308006370086992,0.7402029980221574
clutch,0.7749709419397531,0.7749709419397531,0.7195859552995553,0.7749709419397531,0.620432293150141,0.620432293150141,0.5074728915986675,0.531045443964265,0.7525939870795934,0.7525939870795934,0.6209946054842039,0.7525939870795935,0.42855326114035847,0.42855326114035847,0.2968320809509285,0.35175148520239446,0.6385664294632619,0.423361198412385,0.535216719101588,0.47723379337288574,0.5576381593330604,0.5557667610834819,0.4540363878789691,0.6256661446844215
courier,0.8252536043254255,0.8252536043254255,0.7659447992112817,0.8252536043254257,0.708290671575558,0.708290671575558,0.6105395632305175,0.6309577638209319,0.755335807395721,0.755335807395721,0.6535089590628425,0.755335807395721,0.4546035506615361,0.4546035506615361,0.4175012558119757,0.42735360948250006,0.6572916314810523,0.0,0.6149340224526839,0.5239449437884226,0.6414215631598326,0.7327023962114272,0.653887914422327,0.7539673452600053
efficient,0.7405022238823977,0.7405022238823977,0.6148683422669202,0.6870720716770851,0.5714521414168805,0.5714521414168805,0.45032938108907217,0.47389529661936647,0.7163497463975939,0.7163497463975939,0.5403444933937337,0.6159598041799295,0.4172645098529111,0.4172645098529111,0.32333548901550857,0.3426965869702363,0.6199553824644894,0.2837201941188925,0.4639116260007986,0.3682028444214608,0.5004496164519628,0.6278121980869815,0.5080666879958595,0.6604300968194156
torch,0.8253551141958569,0.8253551141958569,0.7386071437961489,0.7911577418517775,0.7219899031023724,0.7219899031023724,0.557583414384166,0.5994785561101865,0.726849101672578,0.726849101672578,0.5860224658331695,0.6474747029933535,0.45262938703935857,0.45262938703935857,0.39066573511328617,0.41577244441030414,0.7265063945807926,0.41059191466752637,0.5737637390718326,0.429335228123408,0.6138150038388762,0.7259254440763154,0.57959569759809,0.758287278109491
unjust,0.7242563724226497,0.7242563724226497,0.7242563724226498,0.7242563724226498,0.5804217225989668,0.5804217225989668,0.45863379595923964,0.48023577599078876,0.7476359506016741,0.7476359506016741,0.7476359506016741,0.7476359506016741,0.40497325351901187,0.40497325351901187,0.33098890893498045,0.34132513922117874,0.5192804482059239,0.0,0.4246651048960813,0.333195053623554,0.4613326638206665,0.5245365160125204,0.418776631811551,0.5724537632969368
sharp,0.8019118467690339,0.8019118467690339,0.627271104034928,0.6605694234524674,0.6759514592833157,0.6759514592833157,0.5677353331906159,0.5888127619925845,0.7286202443245768,0.7286202443245768,0.5418002834244919,0.5416139724053152,0.4555530021758481,0.4555530021758481,0.3964717716571521,0.41359264856008204,0.6375104563187323,0.4803389991825102,0.5369381666332067,0.4450766911691414,0.569399887435365,0.6648223825774779,0.5996557740894078,0.6935758977058758
vending,0.6093864220461893,0.6093864220461893,0.5748638164458664,0.6093864220461893,0.5489283669209682,0.5489283669209682,0.4189009327594021,0.4390478745410138,0.5154983561700807,0.5154983561700807,0.42842080735158133,0.5154983561700809,0.3989213492833147,0.3989213492833147,0.3047526358260661,0.31566441506005705,0.5900299627685605,0.22283607422321147,0.5026712005428865,0.40770967866356045,0.5325260699088434,0.619415190176629,0.5151827878645041,0.6472735303206597
gum,0.7118396133559179,0.7118396133559179,0.3927282842591099,0.49035840016150706,0.5705641867365806,0.5705641867365806,0.40246116356968176,0.43453105612168186,0.7149236335700606,0.7149236335700606,0.41525789723539946,0.49888144467591566,0.42729686073529033,0.42729686073529033,0.31802794630963876,0.34005008266416764,0.5057100748355526,0.3218752589519542,0.44066631265796036,0.3522597994490274,0.4714107761061601,0.515935456076451,0.44757902487738066,0.5450031380462623
radium,0.7883420871599274,0.7883420871599274,0.7883420871599273,0.7883420871599273,0.6058877771582375,0.6058877771582375,0.44221952829787725,0.4734757548249412,0.7425928293076672,0.7425928293076672,0.7425928293076672,0.7425928293076672,0.41420190886095304,0.41420190886095304,0.29305402851362794,0.32225114376289193,0.4437440846802789,0.0,0.40589215388608435,0.3434716619227911,0.4394656778302059,0.41680979480297126,0.3448758410493539,0.44364124975090236
