ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.3166943,0.39280245,0.40661326,0.49847242,0.44307432,0.53023195
M,0.28526697,0.3467107,0.35998535,0.42919475,0.3908212,0.45525655
P,0.30270648,0.37138164,0.38283896,0.459001,0.41515374,0.4856922
