ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.2789207,0.2860834,0.33758605,0.3238822,0.35989264,0.33541083
HYP*,0.27793285,0.31502518,0.36027485,0.3730646,0.39373362,0.38768768
M,0.20728219,0.21909228,0.24992724,0.2511353,0.26719683,0.262627
P,0.23979823,0.24814734,0.28867555,0.28070208,0.30760542,0.29140723
