word,ambiguity_type,model,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
keg,P,word2vec_recipe_20_HYP_HALF,0.21355149,0.2637146,0.25826925,0.32806864,0.28216282,0.3525652
aristocrat,P,word2vec_recipe_20_HYP_HALF,0.17407507,0.19787292,0.2066294,0.22456431,0.21947825,0.23277317
novelty,P,word2vec_recipe_20_HYP_HALF,0.15542832,0.17788601,0.18884993,0.22266558,0.20622575,0.25140092
pirate,P,word2vec_recipe_20_HYP_HALF,0.19929874,0.21343157,0.23299906,0.24582478,0.24579035,0.2521042
gasoline,M,word2vec_recipe_20_HYP_HALF,0.118820235,0.12699264,0.13782655,0.1413352,0.14642346,0.1514265
fringe,P,word2vec_recipe_20_HYP_HALF,0.18053363,0.20775719,0.21927011,0.24812087,0.23827681,0.2758104
corral,P,word2vec_recipe_20_HYP_HALF,0.30444112,0.26332864,0.33970755,0.27881747,0.35147828,0.28386635
gopher,P,word2vec_recipe_20_HYP_HALF,0.20524211,0.19725004,0.23071294,0.22364487,0.24101809,0.23736386
substance,P,word2vec_recipe_20_HYP_HALF,0.28811395,0.31809044,0.34377298,0.3457175,0.3648577,0.35254806
flannel,P,word2vec_recipe_20_HYP_HALF,0.32961628,0.21841595,0.3746296,0.24082878,0.38938048,0.25402907
strap,P,word2vec_recipe_20_HYP_HALF,0.22768521,0.20777717,0.2770653,0.24796177,0.2997173,0.276223
courtesy,P,word2vec_recipe_20_HYP_HALF,0.2919475,0.23698398,0.33640394,0.24965306,0.35208836,0.24981388
pitch,H,word2vec_recipe_20_HYP_HALF,0.323805,0.29728997,0.37769112,0.32096216,0.39680266,0.33724394
countdown,P,word2vec_recipe_20_HYP_HALF,0.28974348,0.22269243,0.32129332,0.2394145,0.33321685,0.2536618
fiend,P,word2vec_recipe_20_HYP_HALF,0.14132287,0.11616965,0.16439137,0.14456032,0.17557156,0.1526058
generic,P,word2vec_recipe_20_HYP_HALF,0.23589055,0.22666217,0.27627262,0.23007573,0.29071817,0.23980871
marijuana,M,word2vec_recipe_20_HYP_HALF,0.2579983,0.30695552,0.2960554,0.34045526,0.31139144,0.35941705
pink,H,word2vec_recipe_20_HYP_HALF,0.36856285,0.42963105,0.489866,0.5258553,0.52961355,0.53588706
perky,M,word2vec_recipe_20_HYP_HALF,0.3089764,0.2799949,0.34255195,0.27226844,0.3554696,0.26909813
society,P,word2vec_recipe_20_HYP_HALF,0.15985563,0.14567395,0.18668398,0.17148206,0.19802624,0.18363723
fearless,M,word2vec_recipe_20_HYP_HALF,0.17717907,0.16289085,0.19802327,0.16836938,0.20834346,0.17461966
lotion,P,word2vec_recipe_20_HYP_HALF,0.24104998,0.22622164,0.2965832,0.2976698,0.32266483,0.310311
hoop,P,word2vec_recipe_20_HYP_HALF,0.27142745,0.25930843,0.3079338,0.28503847,0.3230387,0.2898137
cookie,P,word2vec_recipe_20_HYP_HALF,0.30621272,0.3115563,0.37012827,0.3520908,0.39424956,0.37707895
etiquette,M,word2vec_recipe_20_HYP_HALF,0.11714549,0.13607411,0.13462915,0.1568398,0.14352879,0.16561705
romantic,P,word2vec_recipe_20_HYP_HALF,0.21940485,0.24241297,0.26332343,0.27921134,0.28024232,0.28654945
square,P,word2vec_recipe_20_HYP_HALF,0.26658583,0.3083379,0.32350972,0.32443282,0.3486453,0.34314513
vibration,P,word2vec_recipe_20_HYP_HALF,0.12141843,0.140454,0.1375958,0.16306575,0.14668582,0.17214403
isolate,P,word2vec_recipe_20_HYP_HALF,0.20516105,0.1593667,0.23368074,0.1525496,0.24408183,0.12081665
spacious,P,word2vec_recipe_20_HYP_HALF,0.22977917,0.254596,0.26426697,0.29077363,0.28044465,0.30452687
toilet,P,word2vec_recipe_20_HYP_HALF,0.18790922,0.24002676,0.23399788,0.2909058,0.25327972,0.30490533
southwest,P,word2vec_recipe_20_HYP_HALF,0.21921234,0.27408376,0.3000702,0.30936515,0.32463914,0.30362862
corpse,M,word2vec_recipe_20_HYP_HALF,0.15873776,0.17314923,0.19209689,0.192694,0.20563976,0.20610195
publisher,P,word2vec_recipe_20_HYP_HALF,0.10482009,0.11762228,0.15421522,0.17358188,0.17693812,0.19571275
accompany,P,word2vec_recipe_20_HYP_HALF,0.28285375,0.3871518,0.38558888,0.47825414,0.42215043,0.4898316
wildlife,M,word2vec_recipe_20_HYP_HALF,0.14608654,0.14479882,0.17358601,0.17603801,0.18399294,0.18299612
louse,P,word2vec_recipe_20_HYP_HALF,0.12801331,0.13724466,0.15280555,0.17163691,0.16313271,0.18708798
household,P,word2vec_recipe_20_HYP_HALF,0.23237503,0.17627823,0.2578777,0.18096758,0.26853535,0.18783316
lend,P,word2vec_recipe_20_HYP_HALF,0.21935411,0.20397396,0.27610818,0.269135,0.29944384,0.28238207
despise,M,word2vec_recipe_20_HYP_HALF,0.0871788,0.099089816,0.106514305,0.12079487,0.11648863,0.13698645
attack,P,word2vec_recipe_20_HYP_HALF,0.2726906,0.2802657,0.3187246,0.28968266,0.33432883,0.29984736
cone,P,word2vec_recipe_20_HYP_HALF,0.28491628,0.28104684,0.33229855,0.32467446,0.35317826,0.32845718
rope,P,word2vec_recipe_20_HYP_HALF,0.23404674,0.2941912,0.32428777,0.3185466,0.35641137,0.33967823
agreement,P,word2vec_recipe_20_HYP_HALF,0.27306232,0.2535231,0.31877714,0.21777163,0.33429518,0.23102602
unable,M,word2vec_recipe_20_HYP_HALF,0.28145105,0.26041716,0.329334,0.26165605,0.3453415,0.25634226
rainy,M,word2vec_recipe_20_HYP_HALF,0.2801425,0.29058045,0.3399763,0.31084052,0.36500108,0.31851527
gracious,P,word2vec_recipe_20_HYP_HALF,0.156949,0.13206933,0.18205671,0.1619351,0.19243851,0.17879976
hind,H,word2vec_recipe_20_HYP_HALF,0.20879188,0.22267553,0.26392114,0.31913796,0.29034454,0.35246557
park,P,word2vec_recipe_20_HYP_HALF,0.28855032,0.22629508,0.32081383,0.23012029,0.33405903,0.2361418
detector,P,word2vec_recipe_20_HYP_HALF,0.16527578,0.18269765,0.1961034,0.18764794,0.20761871,0.18579234
armpit,M,word2vec_recipe_20_HYP_HALF,0.17051819,0.19897537,0.2071207,0.23438694,0.22366706,0.25033256
distance,P,word2vec_recipe_20_HYP_HALF,0.37174502,0.3629217,0.41917014,0.37317413,0.43473777,0.3841645
eager,M,word2vec_recipe_20_HYP_HALF,0.11400221,0.10492529,0.13468483,0.13431649,0.14486869,0.14363432
drum,P,word2vec_recipe_20_HYP_HALF,0.3540893,0.35817176,0.40308866,0.35611972,0.42324507,0.38300958
accident,P,word2vec_recipe_20_HYP_HALF,0.17536688,0.12529474,0.20436619,0.14993641,0.21718723,0.16227165
moon,P,word2vec_recipe_20_HYP_HALF,0.33304933,0.37390557,0.39818245,0.3867577,0.41919994,0.39198938
pansy,P,word2vec_recipe_20_HYP_HALF,0.22792539,0.29432985,0.29147622,0.36834192,0.31691226,0.39198142
reality,P,word2vec_recipe_20_HYP_HALF,0.10542504,0.100674525,0.12358842,0.12865001,0.13289052,0.14032625
equal,P,word2vec_recipe_20_HYP_HALF,0.33055627,0.37119454,0.41702747,0.44449332,0.44669303,0.43998548
regain,P,word2vec_recipe_20_HYP_HALF,0.23433177,0.2001363,0.27345544,0.23449898,0.28896496,0.26344115
dominion,P,word2vec_recipe_20_HYP_HALF,0.1276975,0.12592743,0.14994775,0.14528933,0.16141655,0.15450852
pudding,P,word2vec_recipe_20_HYP_HALF,0.34099108,0.41252205,0.40413132,0.419321,0.42736566,0.41326514
wing,P,word2vec_recipe_20_HYP_HALF,0.27758744,0.32259697,0.39735332,0.43203345,0.44391465,0.45509884
greedy,P,word2vec_recipe_20_HYP_HALF,0.13144758,0.11647169,0.15807778,0.13596591,0.16966487,0.14932546
