ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.27838522,0.2861978,0.33660418,0.32205585,0.35876402,0.33386925
HYP*,0.289434,0.33407724,0.3735702,0.39267144,0.40637103,0.40581214
M,0.20659,0.21695156,0.2484662,0.24888568,0.2654046,0.26032144
P,0.23888858,0.24694712,0.28745303,0.27948642,0.30632162,0.29007316
