ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.27774054,0.2861007,0.33771616,0.324946,0.36058974,0.33681273
HYP*,0.25896716,0.32449436,0.36435866,0.39449203,0.40087786,0.40741596
M,0.20821875,0.22088078,0.25263393,0.25338054,0.27050665,0.2652162
P,0.23959887,0.24870795,0.2890776,0.28164837,0.30824402,0.29240754
