ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.3179277,0.39601442,0.40832114,0.5012418,0.44497687,0.5332099
HYP*,0.2871462,0.39076123,0.40920457,0.5497581,0.46612182,0.60414445
M,0.28487414,0.34626168,0.35948962,0.429467,0.39026928,0.45542583
P,0.3040575,0.37303287,0.38410828,0.46064857,0.4163514,0.48710737
