ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.31694558,0.3933022,0.40720236,0.4994519,0.44368228,0.5315503
HOM*,0.36767134,0.41575825,0.4739798,0.5582478,0.51908594,0.6279023
M,0.28490677,0.3470377,0.35935804,0.42939895,0.3901068,0.4554469
P,0.30276814,0.3719174,0.38295874,0.45974156,0.41525626,0.48616326
