ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.3179482,0.39530277,0.40848365,0.5014596,0.44522357,0.5335622
HYP*,0.293562,0.39593706,0.41580874,0.54738754,0.46748418,0.590796
M,0.28329048,0.3424966,0.35421392,0.4203955,0.3833194,0.44484624
P,0.3033021,0.37249038,0.38363203,0.4609488,0.4160085,0.48753986
