ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.2786433,0.2872141,0.33814338,0.3254378,0.36085093,0.3374817
HOM*,0.33019227,0.35913345,0.41043758,0.38864666,0.4391218,0.3882631
M,0.2050086,0.2149521,0.24773428,0.24854586,0.2651926,0.26063573
P,0.24016488,0.2488211,0.2893745,0.28184652,0.30847183,0.29250494
