ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.27843967,0.28619736,0.33793712,0.3254184,0.3606141,0.3370653
HOM*,0.35133368,0.38495725,0.43929118,0.44275227,0.47317848,0.46229735
M,0.20846367,0.21959455,0.25265712,0.2537252,0.270512,0.26555943
P,0.24019738,0.24921551,0.28926158,0.28153324,0.3082745,0.29197517
