ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.3170113,0.39316395,0.40721512,0.49938554,0.44370866,0.53143436
HOM*,0.38420603,0.46858382,0.49922746,0.61407673,0.5403112,0.6356883
M,0.28441855,0.3463172,0.3590493,0.42954233,0.38993534,0.4558012
P,0.30295202,0.37181023,0.38310304,0.46001264,0.41539156,0.486653
