ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.2781523,0.286856,0.33757463,0.32536024,0.36025703,0.33749425
M,0.20919254,0.22114952,0.25316834,0.25399587,0.2709933,0.26590365
P,0.24024378,0.2492519,0.28956816,0.28199437,0.30867952,0.29268205
