word,ambiguity_type,model,nbhd_mean_distance
health,P,word2vec_tiny_40_HYP,0.40789124
dazzle,P,word2vec_tiny_40_HYP,0.35570142
headache,P,word2vec_tiny_40_HYP,0.4648598
infant,P,word2vec_tiny_40_HYP,0.52693284
maker,P,word2vec_tiny_40_HYP,0.48732582
limit,P,word2vec_tiny_40_HYP,0.41790292
yard,H,word2vec_tiny_40_HYP,0.53474736
expense,P,word2vec_tiny_40_HYP,0.25485784
snug,P,word2vec_tiny_40_HYP,0.43396023
branch,P,word2vec_tiny_40_HYP,0.4650735
button,P,word2vec_tiny_40_HYP,0.45837808
hesitate,P,word2vec_tiny_40_HYP,0.38480845
jackpot,P,word2vec_tiny_40_HYP,0.2565083
reach,P,word2vec_tiny_40_HYP,0.54648274
virus,P,word2vec_tiny_40_HYP,0.38822758
workers,P,word2vec_tiny_40_HYP,0.44657955
block,P,word2vec_tiny_40_HYP,0.490671
cradle,P,word2vec_tiny_40_HYP,0.37666133
peppermint,P,word2vec_tiny_40_HYP,0.29837996
punk,P,word2vec_tiny_40_HYP,0.27328858
solid,P,word2vec_tiny_40_HYP,0.42624417
morality,P,word2vec_tiny_40_HYP,0.18745184
tackle,P,word2vec_tiny_40_HYP,0.38101214
mural,P,word2vec_tiny_40_HYP,0.35962376
dramatic,P,word2vec_tiny_40_HYP,0.32345033
grasp,P,word2vec_tiny_40_HYP,0.31456104
frog,H,word2vec_tiny_40_HYP,0.44205868
dig,P,word2vec_tiny_40_HYP,0.50678515
continent,P,word2vec_tiny_40_HYP,0.33672082
destiny,P,word2vec_tiny_40_HYP,0.30396178
tune,P,word2vec_tiny_40_HYP,0.42931634
vision,P,word2vec_tiny_40_HYP,0.34515426
shave,P,word2vec_tiny_40_HYP,0.52957773
scan,P,word2vec_tiny_40_HYP,0.32940006
sitter,P,word2vec_tiny_40_HYP,0.35892448
steam,P,word2vec_tiny_40_HYP,0.46645746
keen,H,word2vec_tiny_40_HYP,0.3960368
rejoin,H,word2vec_tiny_40_HYP,0.19190231
autograph,P,word2vec_tiny_40_HYP,0.326392
steward,P,word2vec_tiny_40_HYP,0.26814988
partner,P,word2vec_tiny_40_HYP,0.418545
cast,P,word2vec_tiny_40_HYP,0.49756634
vengeful,M,word2vec_tiny_40_HYP,0.221007
brilliance,P,word2vec_tiny_40_HYP,0.29391816
cockroach,M,word2vec_tiny_40_HYP,0.3316161
similar,M,word2vec_tiny_40_HYP,0.41823047
countless,M,word2vec_tiny_40_HYP,0.40219176
scramble,P,word2vec_tiny_40_HYP,0.33222768
antique,P,word2vec_tiny_40_HYP,0.32846558
skip,P,word2vec_tiny_40_HYP,0.5270326
generation,P,word2vec_tiny_40_HYP,0.4122472
treat,P,word2vec_tiny_40_HYP,0.434804
gobble,H,word2vec_tiny_40_HYP,0.3911152
athlete,P,word2vec_tiny_40_HYP,0.33260527
rug,P,word2vec_tiny_40_HYP,0.42153892
paint,P,word2vec_tiny_40_HYP,0.42262077
passionate,P,word2vec_tiny_40_HYP,0.3529792
push,P,word2vec_tiny_40_HYP,0.49260655
liar,M,word2vec_tiny_40_HYP,0.38470355
password,M,word2vec_tiny_40_HYP,0.40191457
buzzard,P,word2vec_tiny_40_HYP,0.35576656
deadly,P,word2vec_tiny_40_HYP,0.32963246
thorough,P,word2vec_tiny_40_HYP,0.3292538
level,P,word2vec_tiny_40_HYP,0.4541149
offer,P,word2vec_tiny_40_HYP,0.46895134
jerk,H,word2vec_tiny_40_HYP,0.3207637
accurate,P,word2vec_tiny_40_HYP,0.3122574
train,P,word2vec_tiny_40_HYP,0.401908
dart,P,word2vec_tiny_40_HYP,0.40238416
insecure,P,word2vec_tiny_40_HYP,0.16739915
nibble,P,word2vec_tiny_40_HYP,0.46531653
bacon,M,word2vec_tiny_40_HYP,0.31919643
cope,H,word2vec_tiny_40_HYP,0.2842355
ballet,P,word2vec_tiny_40_HYP,0.43901455
soak,P,word2vec_tiny_40_HYP,0.4867785
steady,P,word2vec_tiny_40_HYP,0.53252333
perfume,P,word2vec_tiny_40_HYP,0.47220215
patient,P,word2vec_tiny_40_HYP,0.5134248
barefoot,M,word2vec_tiny_40_HYP,0.38326874
stale,P,word2vec_tiny_40_HYP,0.28380442
invade,P,word2vec_tiny_40_HYP,0.16669914
fry,H,word2vec_tiny_40_HYP,0.2721365
fetch,P,word2vec_tiny_40_HYP,0.5173241
stressful,M,word2vec_tiny_40_HYP,0.19210468
fabulous,P,word2vec_tiny_40_HYP,0.37597632
cabin,P,word2vec_tiny_40_HYP,0.47011748
lonesome,P,word2vec_tiny_40_HYP,0.29128566
jester,P,word2vec_tiny_40_HYP,0.43849206
morale,M,word2vec_tiny_40_HYP,0.18825799
assistant,P,word2vec_tiny_40_HYP,0.35873878
fat,P,word2vec_tiny_40_HYP,0.4760936
contribute,P,word2vec_tiny_40_HYP,0.25656506
trend,P,word2vec_tiny_40_HYP,0.31728667
exhaust,P,word2vec_tiny_40_HYP,0.29050693
jealous,P,word2vec_tiny_40_HYP,0.55146503
blouse,P,word2vec_tiny_40_HYP,0.390005
squid,M,word2vec_tiny_40_HYP,0.38162604
fragile,P,word2vec_tiny_40_HYP,0.5409173
worthless,P,word2vec_tiny_40_HYP,0.40912002
clinic,P,word2vec_tiny_40_HYP,0.45559758
hefty,P,word2vec_tiny_40_HYP,0.21820322
humor,P,word2vec_tiny_40_HYP,0.34278625
ultimate,P,word2vec_tiny_40_HYP,0.338763
fruity,P,word2vec_tiny_40_HYP,0.35191596
rowdy,P,word2vec_tiny_40_HYP,0.31439668
zone,P,word2vec_tiny_40_HYP,0.48389897
appreciate,P,word2vec_tiny_40_HYP,0.4262868
walrus,M,word2vec_tiny_40_HYP,0.39132726
instrument,P,word2vec_tiny_40_HYP,0.41486686
vial,M,word2vec_tiny_40_HYP,0.19516438
microwave,P,word2vec_tiny_40_HYP,0.42444843
mustard,P,word2vec_tiny_40_HYP,0.30569997
camper,P,word2vec_tiny_40_HYP,0.2714926
robbery,M,word2vec_tiny_40_HYP,0.3385856
epic,P,word2vec_tiny_40_HYP,0.30362937
lighthouse,M,word2vec_tiny_40_HYP,0.42109948
agony,P,word2vec_tiny_40_HYP,0.25886667
bike,P,word2vec_tiny_40_HYP,0.39588055
thrust,P,word2vec_tiny_40_HYP,0.3003109
basket,P,word2vec_tiny_40_HYP,0.48809338
capable,P,word2vec_tiny_40_HYP,0.32346
edible,P,word2vec_tiny_40_HYP,0.33430436
series,P,word2vec_tiny_40_HYP,0.34927598
backpack,P,word2vec_tiny_40_HYP,0.5086664
fear,P,word2vec_tiny_40_HYP,0.37629834
gift,P,word2vec_tiny_40_HYP,0.48897758
giant,P,word2vec_tiny_40_HYP,0.4667213
timer,P,word2vec_tiny_40_HYP,0.50010854
hobby,H,word2vec_tiny_40_HYP,0.41382158
scrape,P,word2vec_tiny_40_HYP,0.37845594
pussycat,M,word2vec_tiny_40_HYP,0.2976209
location,P,word2vec_tiny_40_HYP,0.3559721
wolf,P,word2vec_tiny_40_HYP,0.41929263
solar,P,word2vec_tiny_40_HYP,0.39136535
elevator,P,word2vec_tiny_40_HYP,0.47489864
evident,M,word2vec_tiny_40_HYP,0.18919197
exact,P,word2vec_tiny_40_HYP,0.40798867
debate,P,word2vec_tiny_40_HYP,0.2769932
pump,H,word2vec_tiny_40_HYP,0.4914231
healthy,P,word2vec_tiny_40_HYP,0.5273658
therapy,P,word2vec_tiny_40_HYP,0.35612515
crafty,M,word2vec_tiny_40_HYP,0.32679874
wandering,P,word2vec_tiny_40_HYP,0.4565219
club,P,word2vec_tiny_40_HYP,0.47680667
racetrack,M,word2vec_tiny_40_HYP,0.2837809
orb,P,word2vec_tiny_40_HYP,0.35441822
girlfriend,P,word2vec_tiny_40_HYP,0.2928708
dispenser,M,word2vec_tiny_40_HYP,0.2929519
conscience,P,word2vec_tiny_40_HYP,0.25622314
connect,P,word2vec_tiny_40_HYP,0.42545232
truck,H,word2vec_tiny_40_HYP,0.41831192
banana,P,word2vec_tiny_40_HYP,0.4161514
weep,P,word2vec_tiny_40_HYP,0.51193994
goal,P,word2vec_tiny_40_HYP,0.47421727
purpose,P,word2vec_tiny_40_HYP,0.5213142
nation,P,word2vec_tiny_40_HYP,0.47905374
slingshot,M,word2vec_tiny_40_HYP,0.43014035
proper,P,word2vec_tiny_40_HYP,0.4199648
calculate,P,word2vec_tiny_40_HYP,0.24376003
salmon,P,word2vec_tiny_40_HYP,0.36458075
overhead,P,word2vec_tiny_40_HYP,0.39684993
mighty,P,word2vec_tiny_40_HYP,0.45044127
galaxy,P,word2vec_tiny_40_HYP,0.39059505
mirror,P,word2vec_tiny_40_HYP,0.49386188
crowd,P,word2vec_tiny_40_HYP,0.431112
bullet,P,word2vec_tiny_40_HYP,0.3883435
fishy,P,word2vec_tiny_40_HYP,0.3252118
strike,P,word2vec_tiny_40_HYP,0.5002827
havoc,P,word2vec_tiny_40_HYP,0.29732135
prosperous,P,word2vec_tiny_40_HYP,0.26071328
puck,M,word2vec_tiny_40_HYP,0.46146476
stairway,M,word2vec_tiny_40_HYP,0.35431325
indulge,P,word2vec_tiny_40_HYP,0.18432635
lure,P,word2vec_tiny_40_HYP,0.41882545
jet,H,word2vec_tiny_40_HYP,0.4283051
efficient,P,word2vec_tiny_40_HYP,0.32337722
surround,P,word2vec_tiny_40_HYP,0.36785743
impolite,M,word2vec_tiny_40_HYP,0.20947826
rocker,P,word2vec_tiny_40_HYP,0.42115057
topic,P,word2vec_tiny_40_HYP,0.38095394
sunshine,P,word2vec_tiny_40_HYP,0.4220287
subtle,P,word2vec_tiny_40_HYP,0.29183
warmed,P,word2vec_tiny_40_HYP,0.4496065
hatred,M,word2vec_tiny_40_HYP,0.22714949
antenna,P,word2vec_tiny_40_HYP,0.39450845
elderly,M,word2vec_tiny_40_HYP,0.49114034
talent,P,word2vec_tiny_40_HYP,0.41414875
tooth,P,word2vec_tiny_40_HYP,0.5034046
modesty,P,word2vec_tiny_40_HYP,0.25277114
mute,P,word2vec_tiny_40_HYP,0.25189587
prosperity,M,word2vec_tiny_40_HYP,0.18236658
chowder,M,word2vec_tiny_40_HYP,0.2560408
starve,P,word2vec_tiny_40_HYP,0.21012165
moth,P,word2vec_tiny_40_HYP,0.46538472
mug,P,word2vec_tiny_40_HYP,0.41952142
panel,P,word2vec_tiny_40_HYP,0.3535303
tender,H,word2vec_tiny_40_HYP,0.33295807
robe,P,word2vec_tiny_40_HYP,0.48992038
expand,P,word2vec_tiny_40_HYP,0.3434319
flame,P,word2vec_tiny_40_HYP,0.46479377
positive,P,word2vec_tiny_40_HYP,0.3236581
hungry,P,word2vec_tiny_40_HYP,0.52526456
bank,H,word2vec_tiny_40_HYP,0.5308619
bark,H,word2vec_tiny_40_HYP,0.4934563
posture,P,word2vec_tiny_40_HYP,0.20593481
tangible,P,word2vec_tiny_40_HYP,0.14853424
