ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.27848297,0.28630376,0.33767274,0.32422766,0.3603003,0.33632562
HOM*,0.35580316,0.37073898,0.43360522,0.42025894,0.46226725,0.43108642
M,0.20876415,0.21986476,0.25274298,0.25392643,0.2705131,0.26602215
P,0.23932047,0.24820286,0.28820732,0.28036347,0.30718955,0.29100075
