ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.31665412,0.39312807,0.40677327,0.49876526,0.4432815,0.5309045
HOM*,0.39104003,0.48067364,0.49165002,0.60495347,0.5324622,0.63139975
M,0.27887738,0.33696413,0.34716874,0.4110406,0.37550798,0.4349672
P,0.30314887,0.37222198,0.38340005,0.46010447,0.4157178,0.4866814
