ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.31698868,0.3938617,0.40744504,0.5001307,0.44395202,0.5311484
HOM*,0.3833478,0.46837306,0.48469907,0.5930536,0.5249934,0.61800677
M,0.27648556,0.33061686,0.33957002,0.39697093,0.36581114,0.4196682
P,0.30381683,0.37370586,0.38394317,0.46087962,0.41615212,0.48693117
