ambiguity_type,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
H,0.31777644,0.39387923,0.40842485,0.50205314,0.44518143,0.5343369
HYP*,0.27667654,0.3845366,0.4201903,0.55252326,0.4768223,0.6000594
M,0.2837178,0.3443524,0.35962132,0.43056205,0.39094344,0.45732734
P,0.3036228,0.37259558,0.38407692,0.46154895,0.4166058,0.4884404
